,Province_State,Deaths-03-10-2020,Deaths-03-11-2020,Deaths-03-12-2020,Deaths-03-13-2020,Deaths-03-14-2020,Deaths-03-15-2020,Deaths-03-16-2020,Deaths-03-17-2020,Deaths-03-18-2020,Deaths-03-19-2020,Deaths-03-20-2020,Deaths-03-21-2020,Deaths-03-22-2020,Deaths-03-23-2020,Deaths-03-24-2020,Deaths-03-25-2020,Deaths-03-26-2020,Deaths-03-27-2020,Deaths-03-28-2020
0,Arizona,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,6,8,13,15
1,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5
2,California,2,3,4,4,5,6,7,12,13,18,23,24,30,39,50,65,81,94,110
3,Colorado,0,0,0,0,1,1,1,2,2,4,4,4,6,7,8,16,19,27,31
4,Connecticut,0,0,0,0,0,0,0,0,0,2,3,4,8,10,12,19,21,27,33
5,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
6,District of Columbia,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4
7,Florida,2,2,2,2,3,4,5,6,7,9,10,13,13,18,18,23,29,35,54
8,Georgia,0,0,1,1,1,1,1,1,3,10,13,14,25,25,32,40,48,64,69
9,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
11,Illinois,0,0,0,0,0,0,0,1,1,4,5,6,9,12,16,19,26,34,47
12,Indiana,0,0,0,0,0,0,1,2,2,2,2,4,6,7,12,14,17,25,31
13,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
14,Kansas,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4
15,Kentucky,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,5,5,7,9
16,Louisiana,0,0,0,0,1,2,3,4,4,10,14,16,20,35,46,65,83,119,137
17,Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
18,Maryland,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,4,5,5
19,Massachusetts,0,0,0,0,0,0,0,0,0,0,1,1,5,9,11,15,25,35,44
20,Michigan,0,0,0,0,0,0,0,0,0,3,3,5,9,15,24,43,61,92,111
21,Minnesota,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5
22,Mississippi,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,8,13
23,Missouri,0,0,0,0,0,0,0,0,0,1,2,3,3,4,7,8,9,9,10
24,Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,Nevada,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,6,10,10,10
27,New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
28,New Jersey,1,1,1,1,1,2,2,3,3,9,11,16,20,27,44,62,81,108,140
29,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
30,New York,0,0,0,0,2,3,10,13,16,34,42,60,117,158,210,285,385,527,728
31,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5
32,North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33,Ohio,0,0,0,0,0,0,0,0,0,0,2,3,3,6,8,11,15,19,25
34,Oklahoma,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,7,8,15
35,Oregon,0,0,0,0,0,1,1,1,2,3,3,5,5,5,8,10,11,12,13
36,Pennsylvania,0,0,0,0,0,0,0,0,0,1,1,2,4,6,8,15,18,22,34
37,Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
38,South Carolina,0,0,0,0,0,0,1,1,1,1,1,3,3,5,5,7,9,13,15
39,South Dakota,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,Tennessee,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,6,7
41,Texas,0,0,0,0,0,0,0,1,3,5,5,5,7,9,12,15,21,26,30
42,Utah,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
43,Vermont,0,0,0,0,0,0,0,0,0,0,2,2,2,5,7,8,9,10,12
44,Virginia,0,0,0,0,1,1,1,2,2,2,2,2,6,6,9,9,10,10,13
45,Washington,23,29,31,37,37,40,48,55,55,74,83,94,97,109,116,133,150,157,188
46,West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Wisconsin,0,0,0,0,0,0,0,0,0,0,3,4,4,5,5,7,10,14,17
48,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
