Province_State,Population,Land_Area,Pop_Density
Alabama,"4,903,185","50,744",96.6
Alaska,"731,545","571,951",1.3
American Samoa,"55,538",77,721.3
Arizona,"7,278,717","113,635",64.1
Arkansas,"3,017,804","52,068",58.0
California,"39,512,223","155,959",253.4
Colorado,"5,758,736","103,718",55.5
Connecticut,"3,565,287","4,845",735.9
Delaware,"973,764","1,954",498.3
District of Columbia,"705,749",61,11569.7
Florida,"21,477,737","53,927",398.3
Georgia,"10,617,423","57,906",183.4
Guam,"169,885",210,809.0
Hawaii,"1,415,872","6,423",220.4
Idaho,"1,787,065","82,747",21.6
Illinois,"12,671,821","55,584",228.0
Indiana,"6,732,219","35,867",187.7
Iowa,"3,155,070","55,869",56.5
Kansas,"2,913,314","81,815",35.6
Kentucky,"4,467,673","39,728",112.5
Louisiana,"4,648,794","43,562",106.7
Maine,"1,344,212","30,862",43.6
Maryland,"6,045,680","9,774",618.5
Massachusetts,"6,892,503","7,840",879.1
Michigan,"9,986,857","56,804",175.8
Minnesota,"5,639,632","79,610",70.8
Mississippi,"2,976,149","46,907",63.4
Missouri,"6,137,428","68,886",89.1
Montana,"1,068,778","145,552",7.3
Nebraska,"1,934,408","76,872",25.2
Nevada,"3,080,156","109,826",28.0
New Hampshire,"1,359,711","8,968",151.6
New Jersey,"8,882,190","7,417",1197.5
New Mexico,"2,096,829","121,356",17.3
New York,"19,453,561","47,214",412.0
North Carolina,"10,488,084","48,711",215.3
North Dakota,"762,062","68,976",11.0
Northern Mariana Islands,5500,179,30.7
Ohio,"11,689,100","40,948",285.5
Oklahoma,"3,956,971","68,667",57.6
Oregon,"4,217,737","95,997",43.9
Pennsylvania,"12,801,989","44,817",285.7
Puerto Rico,"3,680,058","3,515",1047.0
Rhode Island,"1,059,361","1,045",1013.7
South Carolina,"5,148,714","30,110",171.0
South Dakota,"884,659","75,885",11.7
Tennessee,"6,829,174","41,217",165.7
Texas,"28,995,881","261,797",110.8
Utah,"3,205,958","82,144",39.0
Vermont,"623,989","9,250",67.5
Virgin Islands,"106,906",134,797.8
Virginia,"8,535,519","39,594",215.6
Washington,"7,614,893","66,544",114.4
West Virginia,"1,792,147","24,078",74.4
Wisconsin,"5,822,434","54,310",107.2
Wyoming,"578,759","97,100",6.0
